FUNCAO,STATUS,8,9,10,11
COALESCE,OK,S,S,S,S
VALUE,OK,S,S,S,S
IFNULL,OK,S,S,S,S
CURRENT_DATE,OK,S,S,S,S
CURRENT_TIME,OK,S,S,S,S
CURRENT_TIMESTAMP,OK,S,S,S,S
DATE_ADD,OK,S,S,S,S
TIMESTAMPADD,OK,S,S,S,S
LISTAGG,OK,S,S,S,S
NEXT VALUE FOR,OK,S,S,S,S
PREVIOUS VALUE FOR,OK,S,S,S,S
ROW_NUMBER,OK,S,S,S,S
RANK,OK,S,S,S,S
DENSE_RANK,OK,S,S,S,S
NTILE,OK,S,S,S,S
PERCENT_RANK,OK,S,S,S,S
CUME_DIST,OK,S,S,S,S
LAG,OK,S,S,S,S
LEAD,OK,S,S,S,S
FIRST_VALUE,OK,S,S,S,S
LAST_VALUE,OK,S,S,S,S
NTH_VALUE,OK,S,S,S,S
JSON_TABLE,NOK,N,N,N,S
JSON_QUERY,NOK,N,N,N,S
